Date,Time,Guest_ID,Contact,Party_Size,Previous_Visits,Notes,Type,Shift,Wait_Time_Min,Table_Turn_Time_Min,Bill_Amount,Deposit,Status,Rating,Feedback
2022-01-08,20:00,Guest_1382,403-543-3738,5,7,Vegan,Walk-in,Dinner,13,80,85.64591750376687,0.0,Completed,1.0,Excellent
2022-01-08,13:00,Guest_3517,403-395-8338,7,2,None,Reservation,Lunch,0,73,305.7943794487265,39.59965167028548,Completed,5.0,Good
2022-01-08,18:00,Guest_1849,403-996-5025,3,4,None,Reservation,Dinner,0,105,253.77116237794706,0.0,Completed,3.0,nan
2022-01-08,19:00,Guest_1813,403-629-6724,3,0,None,Reservation,Dinner,0,80,251.39833479772784,0.0,Completed,5.0,Good
2022-01-08,18:30,Guest_2732,403-208-5052,7,6,None,Reservation,Dinner,0,108,52.7827201884035,40.53417851687959,Completed,5.0,Excellent
2022-01-08,20:00,Guest_0315,403-887-3376,1,1,None,Reservation,Dinner,0,76,440.2298095031085,0.0,Completed,5.0,Excellent
2022-01-08,18:30,Guest_4525,403-487-7117,1,4,Birthday,Walk-in,Dinner,28,68,96.69035459113537,0.0,Completed,3.0,Excellent
2022-01-08,12:30,Guest_0780,403-309-9720,6,7,None,Reservation,Lunch,0,60,244.31319279849976,39.08899129643631,Completed,4.0,Poor
2022-01-08,18:00,Guest_2843,403-310-2099,4,0,Anniversary,Walk-in,Dinner,9,106,133.43398266832443,0.0,Completed,3.0,Good
2022-01-08,12:00,Guest_0679,403-181-2502,6,1,None,Reservation,Lunch,0,97,311.5469648702225,35.90839737802568,Completed,2.0,Average
2022-01-08,12:00,Guest_2437,403-497-7310,4,8,None,Reservation,Lunch,0,73,173.06353191874092,0.0,Completed,5.0,Excellent
2022-01-08,13:00,Guest_0088,403-316-6816,7,9,None,Reservation,Lunch,0,97,281.3368643447834,38.96825851675599,Completed,4.0,Average
2022-01-08,11:30,Guest_2375,403-417-2502,3,6,None,Reservation,Lunch,0,109,382.8115297497842,0.0,Completed,3.0,Poor
2022-01-09,18:00,Guest_3429,403-515-7082,3,5,None,Reservation,Dinner,0,71,149.0405297212726,0.0,Completed,3.0,Poor
2022-01-09,20:00,Guest_0325,403-830-4557,4,7,None,Walk-in,Dinner,24,96,0.0,0.0,Cancelled,3.0,Good
2022-01-09,19:30,Guest_3368,403-560-4395,6,5,None,Reservation,Dinner,0,94,496.8245596023082,38.88587445362754,Completed,3.0,Excellent
2022-01-09,20:00,Guest_2582,403-466-3486,3,2,None,Walk-in,Dinner,4,79,73.65847901495141,0.0,Completed,2.0,Average
2022-01-09,19:00,Guest_3958,403-435-1639,5,2,None,Reservation,Dinner,0,70,128.37051157792837,27.344058689371646,Completed,5.0,Good
2022-01-09,18:30,Guest_4077,403-165-2093,1,3,None,Reservation,Dinner,0,84,184.07971909258944,0.0,Completed,4.0,Excellent
2022-01-09,18:30,Guest_4846,403-169-2189,2,5,None,Reservation,Dinner,0,108,309.8090305488505,0.0,Completed,4.0,Good
2022-01-09,17:30,Guest_3047,403-885-6285,6,4,None,Reservation,Dinner,0,69,244.4047515186632,49.95247490518225,Completed,3.0,Excellent
2022-01-09,18:00,Guest_0163,403-709-2932,1,4,None,Walk-in,Dinner,12,79,83.87542249325313,0.0,Completed,2.0,Excellent
2022-01-09,18:30,Guest_1583,403-664-4258,6,4,None,Reservation,Dinner,0,74,278.1498290645063,28.608598089188487,Completed,5.0,Poor
2022-01-09,20:00,Guest_2227,403-138-8170,5,3,None,Walk-in,Dinner,10,86,233.55317181719607,0.0,Completed,3.0,Excellent
2022-01-09,13:00,Guest_4043,403-210-5433,3,0,None,Reservation,Lunch,0,87,460.3183562927511,0.0,Completed,4.0,Excellent
2022-01-09,12:30,Guest_3970,403-309-4007,2,4,None,Reservation,Lunch,0,97,338.48874661197175,0.0,Completed,3.0,Good
2022-01-09,11:30,Guest_3567,403-937-4055,1,2,None,Reservation,Lunch,0,80,371.89503973811105,0.0,Completed,3.0,Good
2022-01-09,11:30,Guest_3728,403-520-9450,4,7,None,Reservation,Lunch,0,61,419.5667391677805,0.0,Completed,3.0,Good
2022-01-09,19:30,Guest_4552,403-875-6728,5,6,Anniversary,Reservation,Dinner,0,110,61.242837026832255,36.03625560133394,Completed,4.0,Average
2022-01-09,12:00,Guest_0605,403-876-6785,2,5,Anniversary,Reservation,Lunch,0,113,476.5082297065057,0.0,Completed,4.0,Excellent
2022-01-09,18:00,Guest_4508,403-531-5773,7,4,None,Reservation,Dinner,0,86,61.97376473495786,36.761425905079804,Completed,4.0,Average
2022-01-10,17:30,Guest_3719,403-141-1282,2,1,None,Walk-in,Dinner,0,82,132.84559551243063,0.0,Completed,2.0,Poor
2022-01-10,20:00,Guest_3398,403-664-4670,2,5,None,Walk-in,Dinner,15,79,191.37292872663744,0.0,Completed,5.0,Excellent
2022-01-10,19:30,Guest_4142,403-922-6335,6,9,None,Reservation,Dinner,0,69,275.2787895502689,45.58925561908857,Completed,2.0,Average
2022-01-10,18:00,Guest_1295,403-860-5065,3,0,None,Reservation,Dinner,0,102,124.4390684577842,0.0,Completed,1.0,nan
2022-01-10,19:30,Guest_3050,403-277-4787,7,0,None,Reservation,Dinner,0,74,326.1574344779346,11.154316726448743,Completed,4.0,Average
2022-01-10,11:30,Guest_3260,403-155-1546,6,5,None,Reservation,Lunch,0,75,408.0102693159139,7.0691777108170095,Completed,2.0,Average
2022-01-10,13:00,Guest_2116,403-391-8633,2,8,None,Reservation,Lunch,0,95,332.9303067769968,0.0,Completed,3.0,Excellent
2022-01-10,17:30,Guest_4881,403-435-5766,3,8,None,Reservation,Dinner,0,61,353.4321081650111,0.0,Completed,5.0,nan
2022-01-10,18:30,Guest_2543,403-613-1754,1,2,None,Walk-in,Dinner,3,71,147.98691717530988,0.0,Completed,2.0,Average
2022-01-10,20:00,Guest_1130,403-131-4145,3,0,None,Reservation,Dinner,0,108,80.27807581468156,0.0,Completed,3.0,Terrible
2022-01-10,12:00,Guest_2510,403-242-7533,2,3,None,Reservation,Lunch,0,103,470.94117100184036,0.0,Completed,5.0,Poor
2022-01-10,20:00,Guest_0320,403-201-7713,1,8,None,Reservation,Dinner,0,73,156.55891345528107,0.0,Completed,2.0,Poor
2022-01-10,17:30,Guest_0927,403-656-7792,2,0,None,Reservation,Dinner,0,71,141.6899686324747,0.0,Completed,3.0,Excellent
2022-01-10,12:00,Guest_4158,403-614-5675,1,2,Anniversary,Walk-in,Lunch,22,82,81.53091307453525,0.0,Completed,2.0,Excellent
2022-01-10,12:00,Guest_2400,403-944-2645,5,9,Birthday,Reservation,Lunch,0,115,212.5472265391153,31.865107826901195,Completed,2.0,Good
2022-01-10,18:30,Guest_3907,403-496-3073,1,7,None,Walk-in,Dinner,25,108,234.92414855754944,0.0,Completed,4.0,Average
2022-01-10,20:00,Guest_2706,403-696-3147,4,5,None,Reservation,Dinner,0,102,194.0072508893263,0.0,Completed,4.0,Excellent
2022-01-10,19:30,Guest_4377,403-374-5868,3,7,None,Walk-in,Dinner,25,86,283.1069070088339,0.0,Completed,1.0,Good
2022-01-10,19:30,Guest_4325,403-708-9558,7,6,None,Reservation,Dinner,0,64,81.18849786723267,28.910919061164474,Completed,4.0,Average
